countrycode,countryname,countrycode_s,countryname_s,department,World,IMF member Countries and Territories(198),IMF member Countries(191),EMDEs by Source of Export Earnings: Fuel,EMDEs by Source of Export Earnings: Manufactures,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",EMDEs by External Financing: Net Debtors with Arrears and/or Reschedulings,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),EMDEs by Source of Export Earnings: Nonfuel,Advanced Economies(AE),G7,G20,Emerging Market and Middle-Income Economies(EM),Emerging Asia,Sub-Saharan Africa (SSA): Oil Exporters,Sub-Saharan Africa (SSA): Middle-Income,Sub-Saharan Africa (SSA): Low-Income,Emerging Market and Developing Economies(EMDE),Low-Income Developing Countries (LIDC),Advanced Asia,Latin America and the Caribbean (LAC),EMDEs by External Financing: Net Creditors,EMDEs by Source of Export Earnings: Diversified,Middle East and Central Asia,Middle East and Central Asia: Oil Exporters,Middle East and Central Asia: Oil Importers,Middle East and North Africa (MENA),Emerging and Developing Asia,ASEAN-5,Sub-Saharan Africa (SSA),EMDEs by External Financing: Net Debtors,Heavily Indebted Poor Countries (HIPC),Emerging and Developing Europe,Advanced Europe,North America,Caucasus and Central Asia (CCA),Euro Area (EA) – aggregate of member states,European Union (EU),"Other Advanced Economies (Advanced Economies excluding U.S., Euro Area countries, and Japan)",Central America,Caribbean,Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),Other Emerging and Developing Asia,Sub-Sahara Africa Excluding South Sudan,South America (WEO),Asia,"Middle East, North Africa, Afghanistan, and Pakistan",Emerging and Developing Asia excl. China and India,Sub-Sahara excl. Nigeria and South Africa,Emerging Market and Developing Economies by External Financing: Net Debtors without Arrears and/or Rescheduling During 2019-23,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel (excl. China),Europe,SPR-Emerging Market and Middle-Income Economies(EM),SPR-Low-Income Developing Countries (LIC)
AFG,"Afghanistan, Islamic Republic of",512,Afghanistan,MCD,1,1,1,,,,,1,1,,,,,,,,,1,1,,,1,,1,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,1
ALB,Albania,914,Albania,EUR,1,1,1,,,1,,,1,,,,1,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,1,1,1,
DZA,Algeria,612,Algeria,MCD,1,1,1,1,,,,,,,,,1,,,,,1,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
AND,"Andorra, Principality of",171,Andorra,EUR,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,1,,
AGO,Angola,614,Angola,AFR,1,1,1,1,,,1,,,,,,1,,1,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,1,,,,1,
AIA,"Anguilla, United Kingdom-British Overseas Territory",312,Anguilla,WHD,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,311,Antigua and Barbuda,WHD,1,1,1,,,1,1,,1,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,1,
ARG,Argentina,213,Argentina,WHD,1,1,1,,,,,,1,,,1,1,,,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,
ARM,"Armenia, Republic of",911,Armenia,MCD,1,1,1,,,,,,1,,,,1,,,,,1,,,,,1,1,,1,,,,,1,,,,,1,,,,,,,,,,,,,,1,1,,1,
ABW,"Aruba, Kingdom of the Netherlands",314,Aruba,WHD,1,1,,,,1,,,1,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,1,,1,
AUS,Australia,193,Australia,APD,1,1,1,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,
AUT,Austria,122,Austria,EUR,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
AZE,"Azerbaijan, Republic of",912,Azerbaijan,MCD,1,1,1,1,,,,,,,,,1,,,,,1,,,,1,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,
BHS,"Bahamas, The",313,"Bahamas, The",WHD,1,1,1,,,1,,,1,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,1,,1,
BHR,"Bahrain, Kingdom of",419,Bahrain,MCD,1,1,1,1,,,,,,,,,1,,,,,1,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
BGD,Bangladesh,513,Bangladesh,APD,1,1,1,,1,,,,1,,,,,,,,,1,1,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,1,,1,,1,1,,,1
BRB,Barbados,316,Barbados,WHD,1,1,1,,,1,,,1,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,1,,1,
BLR,"Belarus, Republic of",913,Belarus,EUR,1,1,1,,,,1,,1,,,,1,,,,,1,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,1,1,
BEL,Belgium,124,Belgium,EUR,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
BLZ,Belize,339,Belize,WHD,1,1,1,,,1,,,1,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,1,,1,
BEN,Benin,638,Benin,AFR,1,1,1,,,,,1,1,,,,,,,1,,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,1,1,,,1
BTN,Bhutan,514,Bhutan,APD,1,1,1,,,,,,1,,,,,,,,,1,1,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,,1,,1,,1,1,,,1
BOL,Bolivia,218,Bolivia,WHD,1,1,1,,,,,1,1,,,,1,,,,,1,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,1,1,,1,
BIH,Bosnia and Herzegovina,963,Bosnia and Herzegovina,EUR,1,1,1,,,,,,1,,,,1,,,,,1,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,1,1,1,
BWA,Botswana,616,Botswana,AFR,1,1,1,,,,,1,1,,,,1,,,1,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,1,,1,
