countrycode,countryname,countrycode_s,countryname_s,department,World,IMF member Countries and Territories(198),IMF member Countries(191),EMDEs by Source of Export Earnings: Fuel,EMDEs by Source of Export Earnings: Manufactures,"EMDEs by Source of Export Earnings: Services (including Income, Transfers)",EMDEs by External Financing: Net Debtors with Arrears and/or Reschedulings,EMDEs by Source of Export Earnings: Primary Products (excluding Fuel),EMDEs by Source of Export Earnings: Nonfuel,Advanced Economies(AE),G7,G20,Emerging Market and Middle-Income Economies(EM),Emerging Asia,Sub-Saharan Africa (SSA): Oil Exporters,Sub-Saharan Africa (SSA): Middle-Income,Sub-Saharan Africa (SSA): Low-Income,Emerging Market and Developing Economies(EMDE),Low-Income Developing Countries (LIDC),Advanced Asia,Latin America and the Caribbean (LAC),EMDEs by External Financing: Net Creditors,EMDEs by Source of Export Earnings: Diversified,Middle East and Central Asia,Middle East and Central Asia: Oil Exporters,Middle East and Central Asia: Oil Importers,Middle East and North Africa (MENA),Emerging and Developing Asia,ASEAN-5,Sub-Saharan Africa (SSA),EMDEs by External Financing: Net Debtors,Heavily Indebted Poor Countries (HIPC),Emerging and Developing Europe,Advanced Europe,North America,Caucasus and Central Asia (CCA),Euro Area (EA) – aggregate of member states,European Union (EU),"Other Advanced Economies (Advanced Economies excluding U.S., Euro Area countries, and Japan)",Central America,Caribbean,Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),Other Emerging and Developing Asia,Sub-Sahara Africa Excluding South Sudan,South America (WEO),Asia,"Middle East, North Africa, Afghanistan, and Pakistan",Emerging and Developing Asia excl. China and India,Sub-Sahara excl. Nigeria and South Africa,Emerging Market and Developing Economies by External Financing: Net Debtors without Arrears and/or Rescheduling During 2019-23,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel (excl. China),Europe,SPR-Emerging Market and Middle-Income Economies(EM),SPR-Low-Income Developing Countries (LIC)
BRA,Brazil,223,Brazil,WHD,1,1,1,,,,,,1,,,1,1,,,,,1,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,,1,
BRN,Brunei Darussalam,516,Brunei Darussalam,APD,1,1,1,1,,,,,,,,,1,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,1,,1,,,,,1,
BGR,Bulgaria,918,Bulgaria,EUR,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
BFA,Burkina Faso,748,Burkina Faso,AFR,1,1,1,,,,1,1,1,,,,,,,,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,1
BDI,Burundi,618,Burundi,AFR,1,1,1,,,,1,1,1,,,,,,,,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,1
CPV,Cabo Verde,624,Cabo Verde,AFR,1,1,1,,,1,,,1,,,,1,,,1,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,1,1,1,,,1
KHM,Cambodia,522,Cambodia,APD,1,1,1,,1,,,,1,,,,,,,,,1,1,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,1,,1,,1,1,,,1
CMR,Cameroon,622,Cameroon,AFR,1,1,1,,,,,,1,,,,,,,1,,1,1,,,,1,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,1,1,,,1
CAN,Canada,156,Canada,WHD,1,1,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,
CAF,Central African Republic,626,Central African Republic,AFR,1,1,1,,,,1,1,1,,,,,,,,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,1
TCD,Chad,628,Chad,AFR,1,1,1,1,,,1,,,,,,,,1,,,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,,,,1
CHL,Chile,228,Chile,WHD,1,1,1,,,,,1,1,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,,1,
CHN,"China, People's Republic of",924,China,APD,1,1,1,,1,,,,1,,,1,1,1,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,
COL,Colombia,233,Colombia,WHD,1,1,1,,,,,,1,,,,1,,,,,1,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,,1,
COM,"Comoros, Union of the",632,Comoros,AFR,1,1,1,,,1,1,,1,,,,,,,1,,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,1
COD,"Congo, Democratic Republic of the",636,"Congo, Democratic Republic of the",AFR,1,1,1,,,,1,1,1,,,,,,,,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,1
COG,"Congo, Republic of",634,"Congo, Republic of",AFR,1,1,1,1,,,1,,,,,,,,1,,,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,,,,1
CRI,Costa Rica,238,Costa Rica,WHD,1,1,1,,,,,,1,,,,1,,,,,1,,,1,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,1,,1,
CIV,Côte d'Ivoire,662,Côte d'Ivoire,AFR,1,1,1,,1,,1,,1,,,,,,,1,,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,1
HRV,"Croatia, Republic of",960,Croatia,EUR,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
CUW,"Curaçao, Kingdom of the Netherlands",354,Curaçao,WHD,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP,Cyprus,423,Cyprus,EUR,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
CZE,Czech Republic,935,Czech Republic,EUR,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,1,,,,,,,,,,1,,
DNK,Denmark,128,Denmark,EUR,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,1,,,,,,,,,,1,,
DJI,Djibouti,611,Djibouti,MCD,1,1,1,,,1,1,,1,,,,,,,,,1,1,,,,,1,,1,1,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,1
DMA,Dominica,321,Dominica,WHD,1,1,1,,,1,,,1,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,1,,,1
DOM,Dominican Republic,243,Dominican Republic,WHD,1,1,1,,,1,,,1,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,1,,1,
ECU,Ecuador,248,Ecuador,WHD,1,1,1,1,,,1,,,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,
EGY,"Egypt, Arab Republic of",469,Egypt,MCD,1,1,1,,,1,1,,1,,,,1,,,,,1,,,,,,1,,1,1,,,,1,,,,,,,,,,,,,,,,1,,,,1,,1,
SLV,El Salvador,253,El Salvador,WHD,1,1,1,,,,,,1,,,,1,,,,,1,,,1,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,1,,1,
GNQ,"Equatorial Guinea, Republic of",642,Equatorial Guinea,AFR,1,1,1,1,,,,,,,,,1,,1,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,1,
ERI,"Eritrea, The State of",643,Eritrea,AFR,1,1,1,,,,,1,1,,,,,,,,1,1,1,,,1,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,1,,1,,,1
EST,"Estonia, Republic of",939,Estonia,EUR,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
SWZ,"Eswatini, Kingdom of",734,Eswatini,AFR,1,1,1,,,,,,1,,,,1,,,1,,1,,,,1,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,1,,1,
ETH,"Ethiopia, The Federal Democratic Republic of",644,Ethiopia,AFR,1,1,1,,,,1,,1,,,,,,,,1,1,1,,,,1,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,1
FJI,"Fiji, Republic of",819,Fiji,APD,1,1,1,,,1,,,1,,,,1,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,1,,1,,1,1,,1,
FIN,Finland,172,Finland,EUR,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
FRA,France,132,France,EUR,1,1,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
GAB,Gabon,646,Gabon,AFR,1,1,1,1,,,,,,,,,1,,1,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,1,
GMB,"Gambia, The",648,"Gambia, The",AFR,1,1,1,,,1,1,,1,,,,,,,,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,1
GEO,Georgia,915,Georgia,MCD,1,1,1,,,1,,,1,,,,1,,,,,1,,,,,,1,,1,,,,,1,,,,,1,,,,,,,,,,,,,,1,1,,1,
DEU,Germany,134,Germany,EUR,1,1,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
GHA,Ghana,652,Ghana,AFR,1,1,1,,,,1,1,1,,,,,,,1,,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,1
GRC,Greece,174,Greece,EUR,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
GRD,Grenada,328,Grenada,WHD,1,1,1,,,1,1,,1,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,1
GTM,Guatemala,258,Guatemala,WHD,1,1,1,,,1,,,1,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,1,,1,
GIN,Guinea,656,Guinea,AFR,1,1,1,,,,,1,1,,,,,,,,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,1,1,,,1
GNB,Guinea-Bissau,654,Guinea-Bissau,AFR,1,1,1,,,,1,1,1,,,,,,,,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,1
GUY,Guyana,336,Guyana,WHD,1,1,1,1,,,,,,,,,1,,,,,1,,,1,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,
HTI,Haiti,263,Haiti,WHD,1,1,1,,1,,1,,1,,,,,,,,,1,1,,1,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,1,,,1
HND,Honduras,268,Honduras,WHD,1,1,1,,,,,,1,,,,,,,,,1,1,,1,,1,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,1,1,,,1
HKG,"Hong Kong Special Administrative Region, People's Republic of China",532,Hong Kong SAR,APD,1,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,
HUN,Hungary,944,Hungary,EUR,1,1,1,,1,,,,1,,,,1,,,,,1,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,1,1,1,1,
ISL,Iceland,176,Iceland,EUR,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,1,,
IND,India,534,India,APD,1,1,1,,,,,,1,,,1,1,1,,,,1,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,1,1,,1,
IDN,Indonesia,536,Indonesia,APD,1,1,1,,,,,,1,,,1,1,1,,,,1,,,,,1,,,,,1,1,,1,,,,,,,,,,,,,,,1,,1,,1,1,,1,
IRN,"Iran, Islamic Republic of",429,Iran,MCD,1,1,1,1,,,,,,,,,1,,,,,1,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
IRQ,Iraq,433,Iraq,MCD,1,1,1,1,,,,,,,,,1,,,,,1,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
IRL,Ireland,178,Ireland,EUR,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
ISR,Israel,436,Israel,EUR,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,
ITA,Italy,136,Italy,EUR,1,1,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
JAM,Jamaica,343,Jamaica,WHD,1,1,1,,,1,,,1,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,1,,1,
JPN,Japan,158,Japan,APD,1,1,1,,,,,,,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
JOR,Jordan,439,Jordan,MCD,1,1,1,,,,,,1,,,,1,,,,,1,,,,,1,1,,1,1,,,,1,,,,,,,,,,,,,,,,1,,,1,1,,1,
KAZ,"Kazakhstan, Republic of",916,Kazakhstan,MCD,1,1,1,1,,,,,,,,,1,,,,,1,,,,,,1,1,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,1,
KEN,Kenya,664,Kenya,AFR,1,1,1,,,,,,1,,,,,,,1,,1,1,,,,1,,,,,,,1,1,,,,,,,,,,,,,1,,,,,1,1,1,,,1
KIR,Kiribati,826,Kiribati,APD,1,1,1,,,,,1,1,,,,,,,,,1,1,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,1,,1,,,1,,,1
KOR,"Korea, Republic of",542,Korea,APD,1,1,1,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,
KOS,"Kosovo, Republic of",967,Kosovo,EUR,1,1,1,,,1,,,1,,,,1,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,1,1,1,
KWT,Kuwait,443,Kuwait,MCD,1,1,1,1,,,,,,,,,1,,,,,1,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
KGZ,Kyrgyz Republic,917,Kyrgyz Republic,MCD,1,1,1,,,1,,,1,,,,,,,,,1,1,,,,,1,,1,,,,,1,,,,,1,,,,,,,,,,,,,,1,1,,,1
LAO,Lao People's Democratic Republic,544,Lao P.D.R.,APD,1,1,1,,,,1,,1,,,,,,,,,1,1,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,,1,,1,,,1,,,1
LVA,"Latvia, Republic of",941,Latvia,EUR,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
LBN,Lebanon,446,Lebanon,MCD,1,1,1,,,1,1,,1,,,,1,,,,,1,,,,,,1,,1,1,,,,1,,,,,,,,,,,,,,,,1,,,,1,,1,
LSO,"Lesotho, Kingdom of",666,Lesotho,AFR,1,1,1,,1,,,,1,,,,,,,1,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,1,1,1,,,1
LBR,Liberia,668,Liberia,AFR,1,1,1,,,,1,1,1,,,,,,,,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,1
LBY,Libya,672,Libya,MCD,1,1,1,1,,,,,,,,,1,,,,,1,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
LIE,"Liechtenstein, Principality of",147,Liechtenstein,EUR,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,1,,
LTU,"Lithuania, Republic of",946,Lithuania,EUR,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
LUX,Luxembourg,137,Luxembourg,EUR,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
MAC,"Macao Special Administrative Region, People's Republic of China",546,Macao SAR,APD,1,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,
MDG,"Madagascar, Republic of",674,Madagascar,AFR,1,1,1,,,,1,,1,,,,,,,,1,1,1,,,,1,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,1
MWI,Malawi,676,Malawi,AFR,1,1,1,,,,1,1,1,,,,,,,,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,1
MYS,Malaysia,548,Malaysia,APD,1,1,1,,1,,,,1,,,,1,1,,,,1,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,1,,1,,,1,,1,
MDV,Maldives,556,Maldives,APD,1,1,1,,,1,,,1,,,,1,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,1,,1,,1,1,,,1
MLI,Mali,678,Mali,AFR,1,1,1,,,,1,1,1,,,,,,,,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,1
MLT,Malta,181,Malta,EUR,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
MHL,"Marshall Islands, Republic of the",867,Marshall Islands,APD,1,1,1,,,,,1,1,,,,1,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,1,,1,,,1,,,1
MRT,"Mauritania, Islamic Republic of",682,Mauritania,MCD,1,1,1,,,,1,1,1,,,,,,,,,1,1,,,,,1,,1,1,,,,1,1,,,,,,,,,,,,,,,1,,,,1,,,1
MUS,Mauritius,684,Mauritius,AFR,1,1,1,,,1,,,1,,,,1,,,1,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,1,,1,
MEX,Mexico,273,Mexico,WHD,1,1,1,,1,,,,1,,,1,1,,,,,1,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,1,,1,
FSM,"Micronesia, Federated States of",868,Micronesia,APD,1,1,1,,,,,,1,,,,1,,,,,1,,,,1,1,,,,,1,,,,,,,,,,,,,,,1,,,1,,1,,,1,,,1
MDA,"Moldova, Republic of",921,Moldova,EUR,1,1,1,,,1,1,,1,,,,,,,,,1,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,1,,1
MNG,Mongolia,948,Mongolia,APD,1,1,1,,,,,1,1,,,,1,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,1,,1,,1,1,,1,
MNE,Montenegro,943,"Montenegro, Rep. of",EUR,1,1,1,,,1,,,1,,,,1,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,1,1,1,
MSR,"Montserrat, United Kingdom-British Overseas Territory",351,Montserrat,WHD,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,Morocco,686,Morocco,MCD,1,1,1,,,,,,1,,,,1,,,,,1,,,,,1,1,,1,1,,,,1,,,,,,,,,,,,,,,,1,,,1,1,,1,
MOZ,"Mozambique, Republic of",688,Mozambique,AFR,1,1,1,,,1,1,,1,,,,,,,,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,1
MMR,Myanmar,518,Myanmar,APD,1,1,1,,,,,,1,,,,,,,,,1,1,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,,1,,1,,1,1,,,1
NAM,Namibia,728,Namibia,AFR,1,1,1,,,,,,1,,,,1,,,1,,1,,,,1,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,1,,1,
NRU,"Nauru, Republic of",836,Nauru,APD,1,1,1,,,1,,,1,,,,1,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,1,,1,,,1,,1,
NPL,Nepal,558,Nepal,APD,1,1,1,,,1,,,1,,,,,,,,,1,1,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,1,,1,,,1,,,1
NLD,"Netherlands, The",138,Netherlands,EUR,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
NZL,New Zealand,196,New Zealand,APD,1,1,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,
NIC,Nicaragua,278,Nicaragua,WHD,1,1,1,,,,,,1,,,,,,,,,1,1,,1,,1,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,1,1,,,1
NER,Niger,692,Niger,AFR,1,1,1,,,,1,,1,,,,,,,,1,1,1,,,,1,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,1
NGA,Nigeria,694,Nigeria,AFR,1,1,1,1,,,,,,,,,,,1,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,1,,,1,
MKD,"North Macedonia, Republic of",962,North Macedonia,EUR,1,1,1,,,,,,1,,,,1,,,,,1,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,1,1,1,
