date,period,commodity,price,price_index,SERIES_CODE,INDICATOR,DATA_TRANSFORMATION,FREQUENCY
2019-02-01,2019M2,Cobalt,32100.0,104.39202216375378,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2019-03-01,2019M3,Cobalt,31333.3333333333,101.89875476005031,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2019-04-01,2019M4,Cobalt,33500.0,108.94494524877732,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2019-05-01,2019M5,Cobalt,34166.6666666666,111.11300386069306,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2019-06-01,2019M6,Cobalt,28809.0,93.6894008260306,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2019-07-01,2019M7,Cobalt,27340.3260869565,88.91314413812518,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2019-08-01,2019M8,Cobalt,30136.5714285714,98.00677982900231,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2019-09-01,2019M9,Cobalt,35720.4285714285,116.16597417842205,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2019-10-01,2019M10,Cobalt,35263.0869565217,114.67865903824269,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2019-11-01,2019M11,Cobalt,35510.1666666666,115.4821839783567,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2019-12-01,2019M12,Cobalt,33547.4625,109.0992974715794,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2020-01-01,2020M1,Cobalt,32213.0227272727,104.75958200956248,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2020-02-01,2020M2,Cobalt,33542.075,109.08177684792184,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2020-03-01,2020M3,Cobalt,31119.0454545454,101.20187173849735,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2020-04-01,2020M4,Cobalt,29565.0,96.14797929194332,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2020-05-01,2020M5,Cobalt,29562.5921052631,96.14014860656192,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2020-06-01,2020M6,Cobalt,29074.3409090909,94.55231279060281,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2020-07-01,2020M7,Cobalt,28517.0217391304,92.73986185157473,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2020-08-01,2020M8,Cobalt,32914.8809523809,107.04208666349733,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2020-09-01,2020M9,Cobalt,33482.1022727272,108.88674026615604,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2020-10-01,2020M10,Cobalt,33227.875,108.05997082412586,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2020-11-01,2020M11,Cobalt,32238.8809523809,104.84367523101452,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2020-12-01,2020M12,Cobalt,31882.2857142857,103.68399616563373,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2021-01-01,2021M1,Cobalt,37883.775,123.20136696095518,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2021-02-01,2021M2,Cobalt,47516.45,154.52767294526163,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2021-03-01,2021M3,Cobalt,52414.6739130434,170.45712775191134,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2021-04-01,2021M4,Cobalt,49020.7,159.4196261957235,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2021-05-01,2021M5,Cobalt,44214.85,143.79057947560898,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2021-06-01,2021M6,Cobalt,44149.3636363636,143.57761206364157,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2021-07-01,2021M7,Cobalt,51649.0227272727,167.96716278136057,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2021-08-01,2021M8,Cobalt,51640.5,167.93944612296968,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2021-09-01,2021M9,Cobalt,51797.909090909,168.45135432567838,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2021-10-01,2021M10,Cobalt,54779.2857142857,178.14705322119357,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2021-11-01,2021M11,Cobalt,60412.5,196.46676133855996,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2021-12-01,2021M12,Cobalt,69347.1904761904,225.5231602861222,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2022-01-01,2022M1,Cobalt,70527.05,229.36016718829194,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2022-02-01,2022M2,Cobalt,71573.6,232.76363979874293,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2022-03-01,2022M3,Cobalt,80457.4347826087,261.654651559653,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2022-04-01,2022M4,Cobalt,81790.3809523809,265.98950969354553,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2022-05-01,2022M5,Cobalt,77721.3636363636,252.75670764250577,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2022-06-01,2022M6,Cobalt,72057.7272727272,234.33806425309234,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2022-07-01,2022M7,Cobalt,55713.2380952381,181.1843484751585,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2022-08-01,2022M8,Cobalt,49308.8260869565,160.35663756193904,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2022-09-01,2022M9,Cobalt,51515.409090909,167.53263948887897,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2022-10-01,2022M10,Cobalt,51509.2380952381,167.5125708684164,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2022-11-01,2022M11,Cobalt,51504.5909090909,167.49745781049498,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2022-12-01,2022M12,Cobalt,51497.7727272727,167.47528448378213,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2023-01-01,2023M1,Cobalt,48874.3636363636,158.94372747559598,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2023-02-01,2023M2,Cobalt,36615.0125,119.07523976405363,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2023-03-01,2023M3,Cobalt,33865.1304347826,110.13238152418185,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2023-04-01,2023M4,Cobalt,34498.75,112.19296805675391,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2023-05-01,2023M5,Cobalt,33139.6304347826,107.77299173976431,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2023-06-01,2023M6,Cobalt,29350.6363636363,95.45084990009339,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2023-07-01,2023M7,Cobalt,32982.2976190476,107.2613315906274,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2023-08-01,2023M8,Cobalt,32980.652173913,107.25598045838566,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2023-09-01,2023M9,Cobalt,32981.8809523809,107.25997655399489,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2023-10-01,2023M10,Cobalt,32982.75,107.262802773257,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2023-11-01,2023M11,Cobalt,33003.7272727272,107.33102270844309,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2023-12-01,2023M12,Cobalt,30025.6666666666,97.64610779277703,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2024-01-01,2024M1,Cobalt,28691.4239130434,93.30703305420815,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2024-02-01,2024M2,Cobalt,28271.0476190476,91.93993238754379,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2024-03-01,2024M3,Cobalt,28282.3571428571,91.97671195328157,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2024-04-01,2024M4,Cobalt,27997.0681818181,91.04892716998381,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2024-05-01,2024M5,Cobalt,27440.2391304347,89.23807013965866,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2024-06-01,2024M6,Cobalt,26825.4,87.23855923213584,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2024-07-01,2024M7,Cobalt,26401.2173913043,85.8590800954243,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2024-08-01,2024M8,Cobalt,25111.3409090909,81.66428837206836,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2024-09-01,2024M9,Cobalt,24080.3571428571,78.31143852237523,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2024-10-01,2024M10,Cobalt,24229.2173913043,78.79554513780208,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2024-11-01,2024M11,Cobalt,24292.2619047619,79.00057143830578,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2024-12-01,2024M12,Cobalt,24300.0,79.02573640433697,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2025-01-01,2025M1,Cobalt,23779.9565217391,77.33450929191555,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2025-02-01,2025M2,Cobalt,21721.075,70.6388455707339,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2025-03-01,2025M3,Cobalt,31534.7142857142,102.55366332217817,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2025-04-01,2025M4,Cobalt,33313.6363636363,108.33887431862787,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2025-05-01,2025M5,Cobalt,33260.3409090909,108.16555281482316,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2025-06-01,2025M6,Cobalt,32964.7857142857,107.20438133673231,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2025-07-01,2025M7,Cobalt,32895.1413043478,106.97789159262578,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2025-08-01,2025M8,Cobalt,32895.9761904761,106.98060671571645,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2025-09-01,2025M9,Cobalt,33482.0681818181,108.88662939952243,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2025-10-01,2025M10,Cobalt,43145.7391304347,140.31373693382795,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2025-11-01,2025M11,Cobalt,48138.85,156.55177246534637,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2025-12-01,2025M12,Cobalt,51872.6931818181,168.69455876417302,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2026-01-01,2026M1,Cobalt,55500.1363636363,180.49132290853825,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2026-02-01,2026M2,Cobalt,55858.175,181.6556960319887,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2015-01-01,2015M1,Copper,5830.53571428571,100.0,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2015-02-01,2015M2,Copper,5729.275,98.26326911886319,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2015-03-01,2015M3,Copper,5939.67045454545,101.87177895150086,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2015-04-01,2015M4,Copper,6042.0875,103.62834216409918,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2015-05-01,2015M5,Copper,6294.77631578947,107.96222893149078,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2015-06-01,2015M6,Copper,5833.01136363636,100.04246006665537,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2015-07-01,2015M7,Copper,5456.75,93.5891703163763,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2015-08-01,2015M8,Copper,5127.3,87.93874613334974,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2015-09-01,2015M9,Copper,5217.25,89.481486018805,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2015-10-01,2015M10,Copper,5216.0909090909,89.46160635481014,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2015-11-01,2015M11,Copper,4799.90476190476,82.32356334160262,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2015-12-01,2015M12,Copper,4638.83333333333,79.56101395567262,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2016-01-01,2016M1,Copper,4471.7875,76.69599705981446,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2016-02-01,2016M2,Copper,4598.61904761904,78.87129541718981,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2016-03-01,2016M3,Copper,4953.79761904761,84.96299245556533,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2016-04-01,2016M4,Copper,4872.73809523809,83.57273386215836,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2016-05-01,2016M5,Copper,4694.5375,80.5164007227957,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2016-06-01,2016M6,Copper,4641.9659090909,79.61474102143596,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2016-07-01,2016M7,Copper,4864.90476190476,83.43838371463868,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2016-08-01,2016M8,Copper,4751.67045454545,81.49629274893431,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2016-09-01,2016M9,Copper,4722.20454545454,80.99092050640238,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2016-10-01,2016M10,Copper,4731.2619047619,81.14626402458319,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2016-11-01,2016M11,Copper,5450.93181818181,93.48938219906942,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2016-12-01,2016M12,Copper,5660.35,97.08113074637843,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2017-01-01,2017M1,Copper,5754.55952380952,98.69692607679194,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2017-02-01,2017M2,Copper,5940.9125,101.89308137576192,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2017-03-01,2017M3,Copper,5824.6304347826,99.8987180630994,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2017-04-01,2017M4,Copper,5683.90277777777,97.48508638496688,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2017-05-01,2017M5,Copper,5599.55952380952,96.0385082641675,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2017-06-01,2017M6,Copper,5719.76136363636,98.10009995517332,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2017-07-01,2017M7,Copper,5985.11904761904,102.65127152818184,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2017-08-01,2017M8,Copper,6485.625,111.23549049033727,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2017-09-01,2017M9,Copper,6577.16666666666,112.80552918236293,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2017-10-01,2017M10,Copper,6807.60227272727,116.75774931019798,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2017-11-01,2017M11,Copper,6826.54545454545,117.08264538744464,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2017-12-01,2017M12,Copper,6833.8947368421,117.20869353562153,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2018-01-01,2018M1,Copper,7065.85227272727,121.1870164076835,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2018-02-01,2018M2,Copper,7006.525,120.16948944902155,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2018-03-01,2018M3,Copper,6799.17857142857,116.61327371290318,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2018-04-01,2018M4,Copper,6851.5125,117.51085724786385,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2018-05-01,2018M5,Copper,6825.27380952381,117.06083529856164,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2018-06-01,2018M6,Copper,6965.85714285714,119.47199166947418,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2018-07-01,2018M7,Copper,6250.75,107.20712995007817,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
2018-08-01,2018M8,Copper,6051.04545454545,103.78198078299148,G001.PCOPP.USD.M,"Copper, US dollars per metric tonne, Unit prices",US dollars,Monthly
