date,period,commodity,price,price_index,SERIES_CODE,INDICATOR,DATA_TRANSFORMATION,FREQUENCY
2015-01-01,2015M1,Cobalt,30749.4761904761,100.0,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2015-02-01,2015M2,Cobalt,29155.375,94.8158427785842,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2015-03-01,2015M3,Cobalt,27568.784090909,89.65610965252071,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2015-04-01,2015M4,Cobalt,28827.275,93.74883273272975,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2015-05-01,2015M5,Cobalt,30066.5789473684,97.77915812654003,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2015-06-01,2015M6,Cobalt,30650.3863636363,99.67775117135005,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2015-07-01,2015M7,Cobalt,31579.8695652173,102.70051226107843,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2015-08-01,2015M8,Cobalt,29243.95,95.10389646590988,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2015-09-01,2015M9,Cobalt,27714.3068181818,90.12936235566066,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2015-10-01,2015M10,Cobalt,27499.0454545454,89.42931347579365,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2015-11-01,2015M11,Cobalt,24413.7023809523,79.39550654366545,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2015-12-01,2015M12,Cobalt,23951.1785714285,77.89133845098407,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2016-01-01,2016M1,Cobalt,23134.6,75.23575314484667,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2016-02-01,2016M2,Cobalt,22275.8809523809,72.44312330523637,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2016-03-01,2016M3,Cobalt,22982.5238095238,74.74118800320272,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2016-04-01,2016M4,Cobalt,23000.5,74.79964815505977,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2016-05-01,2016M5,Cobalt,23413.625,76.14316697613145,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2016-06-01,2016M6,Cobalt,23692.7272727272,77.05083210511873,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2016-07-01,2016M7,Cobalt,25085.5238095238,81.58032889449163,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2016-08-01,2016M8,Cobalt,26296.5909090909,85.51882557672845,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2016-09-01,2016M9,Cobalt,26625.0,86.5868408133939,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2016-10-01,2016M10,Cobalt,28205.6666666666,91.72730778224644,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2016-11-01,2016M11,Cobalt,29258.409090909,95.15091870075848,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2016-12-01,2016M12,Cobalt,31589.375,102.7314247706894,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2017-01-01,2017M1,Cobalt,34720.3809523809,112.91373139921875,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2017-02-01,2017M2,Cobalt,43005.0,139.85604090816918,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2017-03-01,2017M3,Cobalt,52765.2173913043,171.5971259622531,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2017-04-01,2017M4,Cobalt,55305.5555555555,179.8585290135285,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2017-05-01,2017M5,Cobalt,54941.9404761904,178.6760208071685,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2017-06-01,2017M6,Cobalt,57449.4545454545,186.83067701572122,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2017-07-01,2017M7,Cobalt,58548.9047619047,190.40618578094282,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2017-08-01,2017M8,Cobalt,58465.1363636363,190.1337635850345,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2017-09-01,2017M9,Cobalt,60128.5,195.54316836988377,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2017-10-01,2017M10,Cobalt,59905.8636363636,194.81913534162246,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2017-11-01,2017M11,Cobalt,62118.0454545454,202.0133451046719,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2017-12-01,2017M12,Cobalt,72632.0526315789,236.20582081354254,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2018-01-01,2018M1,Cobalt,77293.5227272727,251.3653313912791,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2018-02-01,2018M2,Cobalt,80792.6,262.74463831362283,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2018-03-01,2018M3,Cobalt,87614.9047619047,284.9313732018671,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2018-04-01,2018M4,Cobalt,90782.5,295.2326714043918,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2018-05-01,2018M5,Cobalt,90250.0,293.5009345881239,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2018-06-01,2018M6,Cobalt,81188.0952380952,264.0308235990089,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2018-07-01,2018M7,Cobalt,70647.7272727272,229.75262028889003,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2018-08-01,2018M8,Cobalt,63302.2954545454,205.86463022141413,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2018-09-01,2018M9,Cobalt,62210.325,202.31344629951167,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2018-10-01,2018M10,Cobalt,60626.7826086956,197.1636272213094,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2018-11-01,2018M11,Cobalt,54962.9318181818,178.7442864968387,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2018-12-01,2018M12,Cobalt,55263.1578947368,179.72064809303393,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
2019-01-01,2019M1,Cobalt,40704.5454545454,132.37476047527807,G001.PCOBA.USD.M,"Cobalt, US dollars per pound, Unit prices",US dollars,Monthly
